link,price,title
https://atlanta.craigslist.org/atl/cto/d/woodstock-2008-gmc-envoy-slt/6938804529.html,"$5,500 ",2008 GMC Envoy SLT
https://atlanta.craigslist.org/nat/cto/d/woodstock-2011-ford-ranger/6938802467.html,"$10,000 ",2011 Ford Ranger
https://atlanta.craigslist.org/atl/cto/d/atlanta-1989-toyota-camry-le-v6/6938802369.html,"$2,500 ",1989 Toyota Camry LE V6
https://atlanta.craigslist.org/nat/cto/d/marietta-family-size-honda-truck/6938801941.html,"$1,700 ",Family Size Honda Truck
https://atlanta.craigslist.org/eat/cto/d/covington-2001-buick-lesabre-ltd-sedan/6938801351.html,"$1,900 ",2001 Buick LeSabre Ltd Sedan 4D
https://atlanta.craigslist.org/atl/cto/d/decatur-2007-gmc-yukon-denali-4dr-awd/6938798881.html,$0 ,2007 GMC Yukon Denali 4dr AWD SUV - $2000
https://atlanta.craigslist.org/atl/cto/d/atlanta-super-car-2004-honda-accord-ex/6938798526.html,"$1,000 ",Super Car 2004 Honda Accord EX-L
https://atlanta.craigslist.org/eat/cto/d/lithonia-2009-bmw-328i-white/6938795750.html,"$3,500 ",2009 BMW 328i White
https://atlanta.craigslist.org/atl/cto/d/savannah-navigationsystem2004-chevrolet/6938781594.html,"$1,000 ",NavigationSystem2004 Chevrolet Silverado 4WD
https://atlanta.craigslist.org/atl/cto/d/cartersville-cummins/6938770975.html,"$25,000 ",2007 5.9 2500 Cummins
https://atlanta.craigslist.org/atl/cto/d/atlanta-2015-volkswagen-passat-18t-se/6938768761.html,"$8,000 ",2015 Volkswagen Passat 1.8T SE
https://atlanta.craigslist.org/atl/cto/d/atlanta-2002-chevy-avalanche-z66/6938765151.html,"$4,250 ",2002 CHEVY AVALANCHE  Z66
https://atlanta.craigslist.org/atl/cto/d/douglasville-1999-mustang-gt-coupe/6938748237.html,"$9,400 ",1999 Mustang GT Coupe
https://atlanta.craigslist.org/atl/cto/d/acworth-2009-toyota-highlander-one/6938747444.html,"$7,995 ","2009 TOYOTA HIGHLANDER (ONE OWNER, CLEAN CAR FAX)"
https://atlanta.craigslist.org/atl/cto/d/stone-mountain-07-honda-accord/6938741874.html,"$5,950 ",07 Honda Accord
https://atlanta.craigslist.org/atl/cto/d/conyers-ford-f250-for-sale/6938741536.html,"$14,000 ",Ford f250 for sale
https://atlanta.craigslist.org/sat/cto/d/milner-1995-dodge-3500-dually-cummins/6938739025.html,"$5,000 ",1995 dodge 3500 dually cummins
https://atlanta.craigslist.org/atl/cto/d/fayetteville-1990-ford-ranger/6938734458.html,$850 ,1990 Ford Ranger
https://atlanta.craigslist.org/sat/cto/d/newnan-2005-kia-sedona-minivan/6938732967.html,"$2,500 ",2005 Kia Sedona Minivan
https://atlanta.craigslist.org/atl/cto/d/marietta-2011-nissan-sentra-sr-with-94k/6938732572.html,"$4,700 ",2011 Nissan Sentra SR with 94k miles
https://atlanta.craigslist.org/nat/cto/d/marietta-2005-gmc-canyon-truck/6938732392.html,"$3,900 ",2005 GMC CANYON truck
https://atlanta.craigslist.org/atl/cto/d/mcdonough-2007-honda-accord-locks/6938732232.html,"$1,000 ",2007 Honda Accord Locks
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2007-toyota-camry/6938730545.html,"$4,500 ",2007 TOYOTA CAMRY
https://atlanta.craigslist.org/nat/cto/d/jefferson-zx-nissan-fixer-upper/6938727550.html,$5 ,'95 300zx Nissan Fixer-upper
https://atlanta.craigslist.org/sat/cto/d/sharpsburg-2008-nissan-pathfinder-le-4x4/6938725993.html,"$7,100 ",2008 Nissan Pathfinder LE 4x4
https://atlanta.craigslist.org/sat/cto/d/meansville-2004-toyota-tacoma-sr5/6938724329.html,"$5,000 ",2004 Toyota Tacoma SR5
https://atlanta.craigslist.org/sat/cto/d/newnan-2005-volkswagen-passat-super/6938721654.html,"$2,500 ",2005 Volkswagen Passat Super Nice Car
https://atlanta.craigslist.org/atl/cto/d/gainesville-low-low-miles-dodge-charger/6938721137.html,"$8,500 ",Low low miles dodge charger R/T DAYTONA
https://atlanta.craigslist.org/atl/cto/d/norcross-toyota-sienna-1998/6938720568.html,"$1,800 ",TOYOTA SIENNA 1998
https://atlanta.craigslist.org/eat/cto/d/conyers-2009-escalade-awd/6938720078.html,"$10,900 ",2009 escalade awd
https://atlanta.craigslist.org/atl/cto/d/gainesville-2013-hyundai-accent-one/6938719325.html,"$5,100 ",2013 Hyundai Accent one owner
https://atlanta.craigslist.org/atl/cto/d/gainesville-2009-rt-dodge-charger/6938716453.html,"$5,300 ",2009 rt dodge charger
https://atlanta.craigslist.org/atl/cto/d/jonesboro-zr194-p225-75r16-ex-accord90/6938716438.html,"$1,800 ",ZR19(4) P225/75R16 EX-L Accord90% life! Tires for sale!!!!
