id,saleprice
2658,121242.01011636731
2718,166095.60785021985
2414,219643.87225367757
1989,111547.94268826953
625,178814.7511379159
333,102823.83316975129
1327,113325.82731989217
858,150077.32484070119
95,177557.2711267235
1568,160798.2084304297
2482,155975.06122879017
1364,132484.80310915265
2584,146500.62917193398
818,303239.301845086
2673,147768.22894561346
2089,126628.24317122187
1297,159999.4445332209
790,121453.72090779645
2616,188776.12587934174
720,191668.84989709625
222,151755.03021015305
557,123960.12524080336
1148,191596.90465394812
2766,160360.51865203958
534,176730.05211074775
1452,120084.55584535444
630,125453.66140283851
2648,105018.99381917926
125,156718.04857808992
1904,65891.56444194276
1670,110323.15839778875
756,107461.38335302014
717,185559.7093502816
1032,163461.4823998463
852,213552.93778396523
1731,179093.50394513374
2639,112838.80383945473
2071,88562.31346057387
1267,117597.89182520901
1851,174243.5939235014
567,156248.85956777327
2439,203876.12113733956
1898,149715.60456841293
647,148225.29689224527
2256,205983.75856871187
979,99786.89987176385
1444,223586.59800371114
2485,120814.81534137865
157,136357.91783587544
88,121117.02252788075
2003,116346.56546254926
186,188955.13411775167
1425,243349.44746574527
2695,134192.17443086472
738,108266.32758494234
395,154147.77400088435
1353,162264.82558284816
1878,135730.0356283472
390,160294.69183747098
1456,233217.41536282012
1103,316846.7510653792
1387,123062.86616244739
2070,142262.62465709206
1199,175502.00730952318
2479,172965.59247828866
501,290720.76437916467
2362,96954.51206581591
1718,180943.05073462208
2188,94525.11270572939
1483,152367.68427630287
2557,96727.45162716329
437,365045.37691090093
2224,171969.04001821394
1628,171136.69453704235
397,141533.04785190788
587,194001.79646081274
2182,1132690.5571752957
971,130072.35688100045
2611,143943.50097605513
1887,107280.1745361471
2399,357260.48590173706
2148,196604.49292382295
304,124764.62155693179
1997,129452.7684502748
2817,128262.68470760834
1431,194302.3283130787
427,340078.4326657799
263,119467.08021170628
598,167204.26725658638
2895,223933.10273537468
687,136362.81970379667
1822,136864.96459431614
2191,107657.91652277301
179,129333.81565163488
1009,204117.80081072028
2010,135321.93977092297
1991,141373.5449818816
1411,180951.75622363226
1721,210918.94002877895
1144,188803.55942771962
593,219733.79523508504
575,321504.7854384026
1249,161946.5150879979
1604,123543.78575410733
1064,616152.4834560422
1923,158026.3875145037
1988,117747.15904127083
2325,172400.60833373573
114,210239.54878971708
2700,174936.185451371
217,123503.21470225923
343,171756.06007968824
386,212018.45845891658
2005,118484.22453525092
2908,130415.31679990477
1814,235448.03411483119
2446,630284.2141716223
208,137011.96278253096
1679,114617.53416031488
822,342866.69406724884
6,193628.98867228665
1781,420981.6780777737
2397,270960.0789344462
2340,301658.9762278606
1618,167261.28249357722
2843,121377.15011992118
1061,366213.4260963159
2786,126295.066227565
1935,139153.60485121666
1341,115678.76993637544
521,260485.12313800122
2136,132357.11976172653
996,200351.9269484886
227,142773.58720434573
135,183522.04207432296
1167,152906.77053154312
294,225531.65869466373
1776,193381.77959753422
540,161874.3900341005
1717,188124.2969343758
2303,129240.2901019453
116,184390.15352747557
127,137975.94930701368
1371,145525.7266634902
1014,148893.80070878533
1507,112065.824560516
702,111243.89603678777
750,154709.6880549681
261,154075.7288739685
1559,70833.25239359691
